author_id,id,created_at,text,clean_text,tweet_tokenized,tweet_nonstop,tweet_stemmed,tweet_lemmatized,sentiment,label
1116548763168858112,1575191634026717184,2022-09-28T18:32:05.000Z,RT @VSkirbekk: Gradual convergence in fertility between China and Western countries https://t.co/0Vus39KUxg,gradual convergence fertility between china western countries,"['gradual', 'convergence', 'fertility', 'between', 'china', 'western', 'countries']","['gradual', 'convergence', 'fertility', 'china', 'western', 'countries']","['gradual', 'converg', 'fertil', 'china', 'western', 'countri']","['gradual', 'convergence', 'fertility', 'china', 'western', 'country']",0.0,neutral
1364997075851599873,1575190110920114178,2022-09-28T18:26:02.000Z,RT @nytimes: South Korea has had the world's lowest total fertility rate for years. The mayor of Seoul said more nannies would encourage co…,south korea world lowest total fertility rate years mayor seoul said more nannies would encourage,"['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'more', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertil', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanni', 'would', 'encourag']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanny', 'would', 'encourage']",0.2415,positive
1231317688288468994,1575189759550693377,2022-09-28T18:24:38.000Z,RT @nytimes: South Korea has had the world's lowest total fertility rate for years. The mayor of Seoul said more nannies would encourage co…,south korea world lowest total fertility rate years mayor seoul said more nannies would encourage,"['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'more', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertil', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanni', 'would', 'encourag']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanny', 'would', 'encourage']",0.2415,positive
780710885186674688,1575188100078133248,2022-09-28T18:18:03.000Z,RT @nytimes: South Korea has had the world's lowest total fertility rate for years. The mayor of Seoul said more nannies would encourage co…,south korea world lowest total fertility rate years mayor seoul said more nannies would encourage,"['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'more', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertil', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanni', 'would', 'encourag']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanny', 'would', 'encourage']",0.2415,positive
178464094,1575186284808531969,2022-09-28T18:10:50.000Z,"RT @koryodynasty: Always trust men to come up with policies for women. In this case, an ingenious plan for them to have babies to boost Sou…",always trust come with policies women this case ingenious plan them have babies boost,"['always', 'trust', 'come', 'with', 'policies', 'women', 'this', 'case', 'ingenious', 'plan', 'them', 'have', 'babies', 'boost']","['always', 'trust', 'come', 'policies', 'women', 'case', 'ingenious', 'plan', 'babies', 'boost']","['alway', 'trust', 'come', 'polici', 'women', 'case', 'ingeni', 'plan', 'babi', 'boost']","['always', 'trust', 'come', 'policy', 'woman', 'case', 'ingenious', 'plan', 'baby', 'boost']",0.7184,positive
1575181848220663813,1575185764220010499,2022-09-28T18:08:46.000Z,RT @nytimes: South Korea has had the world's lowest total fertility rate for years. The mayor of Seoul said more nannies would encourage co…,south korea world lowest total fertility rate years mayor seoul said more nannies would encourage,"['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'more', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertil', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanni', 'would', 'encourag']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanny', 'would', 'encourage']",0.2415,positive
1208562723942019073,1575183991644176385,2022-09-28T18:01:43.000Z,RT @nytimes: South Korea has had the world's lowest total fertility rate for years. The mayor of Seoul said more nannies would encourage co…,south korea world lowest total fertility rate years mayor seoul said more nannies would encourage,"['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'more', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertil', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanni', 'would', 'encourag']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanny', 'would', 'encourage']",0.2415,positive
214163055,1575182776860811266,2022-09-28T17:56:54.000Z,RT @nytimes: South Korea has had the world's lowest total fertility rate for years. The mayor of Seoul said more nannies would encourage co…,south korea world lowest total fertility rate years mayor seoul said more nannies would encourage,"['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'more', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertil', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanni', 'would', 'encourag']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanny', 'would', 'encourage']",0.2415,positive
1391079438780076035,1575181406678163457,2022-09-28T17:51:27.000Z,@KatyHarSand @KANA9371 I believe in general birth rates have declined majorly in all countries. But  korea currently has the world’s lowest fertility rate,believe general birth rates have declined majorly countries korea currently world lowest fertility rate,"['believe', 'general', 'birth', 'rates', 'have', 'declined', 'majorly', 'countries', 'korea', 'currently', 'world', 'lowest', 'fertility', 'rate']","['believe', 'general', 'birth', 'rates', 'declined', 'majorly', 'countries', 'korea', 'currently', 'world', 'lowest', 'fertility', 'rate']","['believ', 'gener', 'birth', 'rate', 'declin', 'majorli', 'countri', 'korea', 'current', 'world', 'lowest', 'fertil', 'rate']","['believe', 'general', 'birth', 'rate', 'declined', 'majorly', 'country', 'korea', 'currently', 'world', 'lowest', 'fertility', 'rate']",-0.3818,negative
957557377,1575180313621561346,2022-09-28T17:47:06.000Z,RT @nytimes: South Korea has had the world's lowest total fertility rate for years. The mayor of Seoul said more nannies would encourage co…,south korea world lowest total fertility rate years mayor seoul said more nannies would encourage,"['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'more', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'years', 'mayor', 'seoul', 'said', 'nannies', 'would', 'encourage']","['south', 'korea', 'world', 'lowest', 'total', 'fertil', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanni', 'would', 'encourag']","['south', 'korea', 'world', 'lowest', 'total', 'fertility', 'rate', 'year', 'mayor', 'seoul', 'said', 'nanny', 'would', 'encourage']",0.2415,positive
